Category,Title,Author,Relevance to Seedbearer Framework,Affiliate Link,
Theology & Identity,Understanding Your Potential,Dr Myles Munroe,The theological spine of the entire framework. The seed of everything is in itself.,,
Theology & Identity,In Pursuit of Purpose,Dr Myles Munroe,Purpose as the framework for identity. Pairs directly with Understanding Your Potential.,,
Theology & Identity,Seeing Through the Eyes of the Father,Leif Hetland,The Father's love and healing the orphan spirit. Essential companion to Sessions 1 and 5.,,
Theology & Identity,The Artisan Soul,Erwin McManus,Creativity and being made in the image of a creative God. Identity as design.,,
Theology & Identity,The Way of the Warrior,Erwin McManus,Identity and the seven frequencies of the human soul.,,
Theology & Identity,12 Rules for Life,Jordan Peterson,"Personal responsibility and meaning. Frame as: responsibility flowing from identity, not replacing it.",,
Psychology & Attachment,Hold On to Your Kids,Gordon Neufeld and Gabor MatÃ©,Attachment theory for parents in plain language. The single most important parenting recommendation in the library.,,
Psychology & Attachment,In the Realm of Hungry Ghosts,Gabor MatÃ©,The opposite of addiction is connection. Reaches beyond the faith community.,,
Psychology & Attachment,The Myth of Normal,Gabor MatÃ©,Trauma illness and healing. Bestseller with broad audience and strong search traffic.,,
Psychology & Attachment,The Body Keeps the Score,Bessel van der Kolk,One of the most searched books in mental health. Signals serious intellectual range.,,
Psychology & Attachment,Scattered Minds,Gabor MatÃ©,ADHD and the gift of a challenging childhood. Reframes difficulty as design.,,
Neuroscience & Brain,Switch On Your Brain,Dr Caroline Leaf,The neuroscience of thought identity and rewiring. Large existing Christian audience.,,
Neuroscience & Brain,Cleaning Up Your Mental Mess,Dr Caroline Leaf,Her most practical work. Five-step process for changing thought patterns.,,
Neuroscience & Brain,The Whole-Brain Child,Daniel Siegel and Tina Payne Bryson,Neuroscience of child development. Enormous existing audience drives search traffic.,,
Neuroscience & Brain,No-Drama Discipline,Daniel Siegel and Tina Payne Bryson,Practical application of brain science to discipline. Natural companion to the Conversation Framework.,,
Communication & Accountability,Crucial Conversations,Kerry Patterson and Joseph Grenny,Tools for talking when stakes are high. Broad secular crossover audience.,,
Communication & Accountability,Crucial Accountability,Kerry Patterson and Joseph Grenny,The conversations nobody wants but every family needs.,,
Communication & Accountability,Atomic Habits,James Clear,Identity-based habit change. The practical mechanism woven through every teaching session.,,
Boundaries & Discipline,Boundaries,Dr Henry Cloud and Dr John Townsend,The foundational boundaries framework. Property lines and natural consequences.,,
Boundaries & Discipline,Boundaries with Kids,Dr Henry Cloud and Dr John Townsend,Cloud's framework applied specifically to parenting. Essential companion to the Conversation Framework.,,
Boundaries & Discipline,Keep Your Love On,Danny Silk,Love-based parenting and discipline. The relational foundation underneath all accountability.,,
Boundaries & Discipline,Loving Our Kids on Purpose,Danny Silk,Danny Silk's parenting application of the Culture of Honour framework.,,
Family Culture & Connection,The 5 Love Languages of Children,Gary Chapman and Ross Campbell,Practical tool for understanding how each child receives love. Accessible entry point for new readers.,,
Family Culture & Connection,Raising Emotionally Healthy Boys,Maggie Dent,Practical and warm. Broad Australian and UK audience crossover.,,
Children's Fiction — Identity & Healing,Millie Maven and the White Dragon (Book 1),Ted Dekker,A young girl discovers her true identity and worth in a place that strips away all pretence. Fear versus identity at its core. Ages 8–12.,,
Children's Fiction — Identity & Healing,Millie Maven and the Shadow Stone (Book 2),Ted Dekker,Millie faces the lie that she is not enough. A powerful story about shame and the truth of who you actually are. Ages 8–12.,
Children's Fiction — Identity & Healing,Millie Maven and the Emerald Curse (Book 3),Ted Dekker,The series deepens its exploration of belonging and what it costs to live from your true self. Ages 8–12.,
Children's Fiction — Identity & Healing,Journey to Impossible Places (Book 1),Ted Dekker,A child discovers they carry something extraordinary — a story of purpose and belonging for children navigating fear and identity. Ages 8–12.,
Children's Fiction — Identity & Healing,The Girl Behind the Mask,Ted Dekker,Identity hidden behind performance and the journey to the real self underneath. Ages 10–14.,
Children's Fiction — Identity & Healing,Eyes Wide Open,Ted Dekker,Who are you when everything that defines you is stripped away? A story about identity that is not dependent on circumstance. Young adult.,
Children's Fiction — Identity & Healing,The Dream Traveler's Quest — Quentin (Book 1),Ted Dekker,Four children discover gifts and identity in an adventure that tackles fear and belonging. Designed for family reading together. Ages 8–12.,
